Age,Gender,Education Level,Occupation,Monthly Income,BNPLU 1,BNPLU 2,BNPLU 3,BNPLU 4,BNPLU 5,BNPLU 6,TRUST 1,TRUST 2,TRUST 3,TRUST 4,TRUST 5,TRUST 6,CONV. 1,CONV. 2,CONV. 3,CONV. 4,CONV. 5,CONV. 6,CONV. 7,CONV. 8,CONV. 9,MATERIALISM 1,MATERIALISM 2,MATERIALISM 3,MATERIALISM 4,MATERIALISM 5,MATERIALISM 6,MATERIALISM 7,MATERIALISM 8,MATERIALISM 9,FIN. LIT 1,FIN. LIT 2,FIN. LIT 3,IMPULSE 1,IMPULSE 2,IMPULSE 3,IMPULSE 4,IMPULSE 5,IMPULSE 6
24,Female,Undergraduate,Salaried Employee,25000,4,4,5,5,4,4,2,3,3,3,4,3,4,3,4,3,3,4,4,4,3,5,4,5,1,5,5,4,5,5,2,4,3,4,5,3,4,2,4
25,Female,Undergraduate,Salaried Employee,Nil,2,1,2,1,2,1,3,3,2,3,3,2,2,2,2,1,1,2,2,1,1,3,3,2,3,2,3,3,3,4,5,4,3,2,4,3,3,3,2
23,Female,Undergraduate,Salaried Employee,35000,1,1,1,2,1,1,1,1,2,1,1,1,2,4,3,2,2,3,4,2,2,2,2,3,3,2,1,2,2,2,1,1,1,1,1,1,1,5,1
25,Female,Professional Degree,Salaried Employee,15000,5,5,5,3,5,5,4,4,4,4,4,5,3,4,4,4,5,3,3,4,4,2,2,3,4,2,3,2,3,3,5,5,5,3,3,3,4,2,2
22,Female,Professional Degree,Salaried Employee,25000,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,2,3,5,5,5,5,4,4,4,5,4,5,4,1,5
26,Female,Postgraduate,Student,35000,5,5,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,2,4,4,4,4,4,3,2,4,5,5,5,5,2,5
24,Male,Undergraduate,Student,25000,3,4,3,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,3,4,2,3,4,3,4,3,4,3,4,3,4,2,3,4,3
25,Female,Professional Degree,Self-Employed,35000,4,4,5,4,4,5,3,5,3,4,3,4,5,5,5,5,4,5,4,5,5,1,1,2,5,2,1,1,1,2,3,4,4,4,4,4,4,2,3
21,Female,Undergraduate,Student,30000,3,2,3,1,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,3,1,5,2,3,2,1,2,3,4,4,4,4,4,4,3,2
22,Male,Undergraduate,Student,20000,5,4,5,4,4,5,5,4,4,4,4,4,3,3,4,3,3,3,4,3,3,3,4,3,2,3,4,4,3,3,5,5,5,5,5,5,4,1,5
26,Male,Undergraduate,Student,Nil,3,2,2,2,1,3,2,1,2,2,1,3,4,4,3,4,3,3,4,4,4,2,2,4,3,3,2,3,4,3,5,5,5,3,4,2,2,4,1
20,Male,Undergraduate,Salaried Employee,Nil,4,4,4,3,3,4,4,5,4,4,4,4,3,3,3,3,2,3,2,1,1,4,3,4,2,2,3,4,3,4,3,4,3,3,3,4,3,1,4
22,Female,Postgraduate,Salaried Employee,35000,2,1,2,2,2,2,2,1,1,1,1,1,3,3,4,4,3,5,4,4,3,3,3,2,4,2,3,2,3,2,3,2,2,2,4,2,4,2,4
25,Male,Undergraduate,Salaried Employee,Nil,3,4,3,4,4,4,5,5,5,5,4,5,1,1,1,2,2,1,1,1,2,2,1,2,3,2,2,2,2,3,4,3,3,4,4,3,4,1,4
24,Female,Undergraduate,Student,40000,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,2,2,4,4,3,3,3,3,2,2,1,2,5,5,5,5,1,5
25,Female,Postgraduate,Student,10000,4,4,5,5,4,3,3,4,4,4,4,4,4,5,4,4,5,5,5,5,5,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,2,4
24,Female,Undergraduate,Student,25000,4,2,4,4,4,3,4,4,5,4,4,5,5,4,5,5,5,5,4,5,5,1,3,1,4,1,1,1,2,4,1,1,1,4,5,4,4,1,5
27,Male,Undergraduate,Salaried Employee,10000,5,4,4,5,5,5,4,5,5,5,5,5,5,3,3,4,4,2,4,3,4,1,2,3,5,2,2,2,2,2,4,4,4,4,3,3,3,4,3
23,Female,Undergraduate,Student,40000,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,4,3,4,5,4,2,2,3,5,5,5,5,1,5
23,Female,Undergraduate,Salaried Employee,Nil,3,3,4,4,3,5,4,3,3,4,4,2,3,2,2,2,3,2,3,2,2,5,5,5,1,5,5,5,5,5,5,5,5,2,4,4,3,2,3
25,Male,Undergraduate,Salaried Employee,10000,5,4,5,5,4,5,3,4,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,4,4,4,4,4,4,3,3,4
24,Male,Postgraduate,Salaried Employee,35000,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,1,5,5,4,5,5,4,3,4,5,5,5,5,1,5
20,Male,Undergraduate,Salaried Employee,Nil,2,1,2,1,1,2,2,3,2,2,3,2,3,2,4,2,1,2,2,2,3,1,1,1,4,3,2,1,1,2,5,5,5,5,4,4,3,2,4
22,Female,Undergraduate,Salaried Employee,Nil,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,4,3,3,5,5,5,5,1,5
23,Male,Postgraduate,Salaried Employee,35000,4,4,5,4,4,4,3,3,3,4,3,2,1,3,4,4,4,4,3,4,5,3,4,3,2,4,4,3,4,3,3,2,2,3,2,2,3,3,3
24,Male,Undergraduate,Student,30000,4,4,4,4,3,3,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,4,5,4,4,4,5,5,5,5,2,5
23,Male,Postgraduate,Student,Nil,4,4,4,4,4,5,2,4,3,4,4,4,5,4,3,4,4,4,3,4,3,3,3,2,4,2,2,3,3,2,4,4,4,1,4,3,3,2,5
25,Male,Undergraduate,Student,20000,3,3,2,2,3,3,1,2,2,2,1,3,2,2,3,4,3,3,3,3,4,3,4,3,3,4,4,4,4,3,2,1,2,1,1,3,1,4,1
25,Male,Professional Degree,Student,Nil,3,5,5,3,3,3,5,5,4,5,4,4,5,4,5,5,4,5,5,4,5,5,5,5,1,4,5,5,5,5,4,3,3,5,5,4,4,1,5
21,Female,Undergraduate,Salaried Employee,Nil,2,3,3,3,2,3,2,1,3,1,2,2,1,2,4,3,1,4,4,3,4,4,4,4,3,4,3,3,3,4,5,5,5,2,2,4,3,3,2
23,Male,Postgraduate,Student,20000,5,4,5,5,5,5,4,4,4,4,2,4,3,3,3,3,4,3,2,2,2,3,4,4,3,4,3,4,3,3,4,4,4,1,4,3,4,2,2
23,Female,Postgraduate,Salaried Employee,Nil,4,4,3,3,3,3,3,2,3,3,3,3,4,4,3,4,4,5,3,3,4,3,3,2,3,4,3,3,4,3,3,2,4,3,3,3,2,3,2
21,Male,Postgraduate,Student,15000,4,5,4,4,5,4,3,3,4,3,3,4,2,4,5,5,5,4,4,4,3,4,4,4,3,4,4,4,3,4,2,3,2,4,5,5,4,2,5
23,Male,Postgraduate,Salaried Employee,Nil,3,4,4,3,3,4,5,5,5,5,5,5,3,1,4,1,3,3,3,4,3,1,1,2,4,1,1,2,1,1,2,1,1,3,3,4,3,3,3
23,Female,Undergraduate,Student,35000,3,3,4,3,4,3,4,4,4,4,3,4,4,3,4,3,3,4,4,4,4,5,5,5,1,5,5,5,5,4,1,1,1,5,4,4,4,2,5
25,Female,Undergraduate,Student,20000,5,5,3,5,4,4,5,5,5,5,5,5,4,4,2,3,3,3,4,4,4,3,3,2,2,3,4,4,3,3,3,2,2,5,4,4,3,1,3
23,Female,Professional Degree,Student,Nil,3,3,3,2,3,2,2,2,3,2,4,2,5,3,4,4,5,4,4,4,5,5,5,5,1,5,5,5,5,5,3,4,3,4,5,5,4,3,4
20,Male,Professional Degree,Salaried Employee,40000,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,4,4,5,4,3,2,3,5,5,5,5,1,5
23,Male,Undergraduate,Student,30000,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,4,4,4,4,4,4,4,5,5,5,5,5,2,5
25,Female,Postgraduate,Salaried Employee,Nil,3,3,3,4,3,4,4,2,3,3,4,3,5,5,4,4,5,4,4,5,5,4,4,3,3,3,4,3,4,4,4,4,4,3,4,3,4,4,3
23,Male,Postgraduate,Salaried Employee,50000,4,4,4,4,4,4,4,4,3,4,3,4,5,4,5,4,4,4,5,4,4,3,2,1,4,2,2,1,2,1,5,5,4,4,2,1,1,4,1
22,Female,Postgraduate,Self-Employed,Nil,3,2,3,1,3,3,2,2,1,3,2,1,3,3,3,3,2,3,3,2,2,2,4,3,4,4,2,4,4,3,3,4,3,1,1,1,1,5,1
27,Male,Professional Degree,Salaried Employee,Nil,5,4,4,5,4,5,3,2,2,1,2,3,2,5,3,3,2,4,4,4,4,3,3,2,4,3,3,2,3,4,3,3,2,3,3,3,3,2,3
21,Male,Postgraduate,Salaried Employee,10000,4,2,4,4,5,4,3,3,3,2,1,3,3,3,4,4,5,5,4,4,4,4,3,4,3,4,4,4,4,5,1,2,1,4,4,1,3,3,3
22,Female,Undergraduate,Salaried Employee,Nil,3,1,1,2,1,2,3,3,2,3,2,1,2,3,3,2,2,3,3,2,4,2,2,1,3,2,3,4,3,2,4,3,4,4,2,3,3,3,4
22,Female,Postgraduate,Student,25000,4,4,4,4,3,4,5,5,5,4,5,5,2,2,2,3,3,2,2,5,2,2,2,2,3,3,3,2,3,2,2,3,2,4,4,3,3,3,4
24,Female,Undergraduate,Salaried Employee,20000,4,4,3,2,5,4,5,4,5,5,5,5,4,4,4,3,4,5,4,3,3,1,1,2,4,2,1,1,1,1,2,2,3,5,5,4,4,1,5
25,Female,Undergraduate,Student,35000,3,4,1,3,4,2,3,3,4,3,3,2,3,2,2,3,2,2,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,1,1,2,2,4,3
20,Male,Postgraduate,Salaried Employee,Nil,5,5,5,5,5,4,4,3,4,4,2,4,2,3,2,3,3,3,4,3,2,5,4,5,2,4,5,3,3,4,1,2,2,5,5,4,5,2,4
25,Female,Postgraduate,Student,Nil,3,5,4,5,5,4,4,4,4,4,3,4,4,3,3,4,3,4,3,4,4,5,5,5,1,5,4,5,5,5,3,2,2,4,4,4,3,2,4
24,Female,Undergraduate,Student,10000,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,4,4,3,3,3,3,5,4,3,2,4,4,4,4,5,2,3,2,5,5,5,5,1,5
26,Male,Postgraduate,Salaried Employee,Nil,3,3,1,2,2,3,3,3,3,4,4,3,4,3,4,5,4,5,3,4,5,3,3,4,3,4,3,3,2,3,5,4,5,2,4,4,3,2,2
26,Male,Undergraduate,Student,40000,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,2,5,5,5,5,1,5
25,Female,Undergraduate,Student,25000,4,4,3,3,3,2,2,3,3,2,3,3,2,3,3,3,3,4,4,3,4,3,4,3,3,4,3,3,3,3,4,4,4,3,2,3,3,2,3
21,Male,Postgraduate,Student,30000,5,5,5,5,5,5,4,4,3,4,5,4,5,4,4,4,5,5,5,5,5,4,4,4,2,4,4,3,5,4,3,4,4,5,5,5,5,1,5
22,Female,Postgraduate,Salaried Employee,25000,3,4,3,3,3,5,5,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,3,4,5,5,5,5,4,1,5
27,Male,Undergraduate,Student,Nil,5,5,5,4,4,4,3,3,2,2,3,3,4,3,4,4,4,3,2,4,5,4,4,4,1,5,4,5,4,4,4,5,5,4,4,3,3,2,4
23,Female,Undergraduate,Student,Nil,4,4,4,4,4,5,5,4,5,4,5,4,5,5,4,5,4,4,4,4,5,5,4,5,1,5,4,5,5,5,4,4,5,5,5,5,5,1,5
23,Female,Postgraduate,Self-Employed,15000,3,4,3,4,2,4,4,5,3,3,4,4,1,1,1,1,1,1,1,1,1,4,3,5,3,4,4,3,4,3,1,1,1,1,1,2,1,5,1
26,Female,Undergraduate,Self-Employed,30000,2,3,2,2,1,2,3,4,4,4,3,3,3,3,4,3,4,3,4,3,3,1,2,2,4,3,2,1,2,2,3,4,4,2,2,3,3,4,3
26,Female,Professional Degree,Student,10000,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,4,4,4,5,4,4,4,4,4,5,2,4
24,Male,Undergraduate,Student,Nil,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,2,4,3,3,3,4,4,3,2,4,5,4,4,3,3,4,3,5,4,5,5,1,5
26,Female,Professional Degree,Student,25000,2,3,2,2,2,2,3,1,3,2,2,3,2,3,4,1,2,2,2,2,1,5,4,3,2,4,5,4,4,4,4,3,4,2,2,1,2,5,3
20,Female,Undergraduate,Self-Employed,Nil,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,3,3,5,4,4,4,5,1,3,4,4,5,3,4,2,2,2,3,2,3,4,3
24,Female,Undergraduate,Student,20000,3,2,3,3,3,2,5,5,4,4,4,4,3,3,3,3,3,4,3,2,4,2,2,1,4,2,2,1,2,2,5,5,4,3,3,3,2,2,3
28,Female,Undergraduate,Student,Nil,4,3,4,5,5,4,2,2,1,2,1,2,3,4,4,2,4,3,3,3,4,4,4,4,2,4,5,4,5,4,4,3,4,5,3,4,3,3,1
20,Female,Postgraduate,Student,15000,4,5,4,5,5,5,1,1,3,3,3,3,4,4,5,4,4,3,3,3,4,4,3,4,3,4,4,4,2,4,3,4,3,4,4,3,3,3,2
21,Female,Professional Degree,Salaried Employee,10000,5,3,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,3,4,3,5,5,5,5,1,5
25,Female,Undergraduate,Student,35000,4,5,4,2,3,4,5,5,5,4,4,5,4,4,3,4,4,4,5,4,5,3,4,4,3,4,5,4,5,4,5,4,5,3,3,4,4,3,3
23,Female,Undergraduate,Salaried Employee,25000,3,4,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5,5,4,2,4,4,4,4,4,3,3,4,4,4,4,4,2,3
20,Female,Undergraduate,Student,Nil,3,5,4,5,4,4,4,4,4,5,5,5,4,3,5,3,4,3,4,4,3,5,5,5,2,5,5,5,5,4,4,4,4,3,4,5,2,1,4
21,Male,Postgraduate,Salaried Employee,30000,2,2,3,2,2,3,5,4,4,5,3,5,3,3,4,4,2,3,3,3,4,2,1,1,5,1,1,2,1,3,2,4,4,2,1,2,3,2,2
22,Male,Undergraduate,Salaried Employee,30000,1,1,3,2,2,3,3,3,3,4,4,3,3,2,2,3,3,4,2,2,4,3,4,3,3,3,4,2,3,2,5,4,5,4,5,4,4,2,4
22,Female,Professional Degree,Student,25000,4,4,4,5,4,4,3,4,4,5,4,4,3,4,4,4,4,4,5,4,3,4,4,5,1,5,4,5,5,4,1,1,1,5,5,5,5,1,5
26,Male,Undergraduate,Student,40000,3,3,3,4,3,4,1,1,1,1,2,1,3,4,2,3,3,3,1,3,2,3,4,3,2,4,4,4,3,3,5,5,5,2,4,3,2,5,4
24,Male,Postgraduate,Student,30000,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,3,4,3,4,5,5,5,1,5,4,5,4,4,2,4,3,5,4,4,4,1,4
24,Male,Postgraduate,Salaried Employee,Nil,3,4,3,4,3,3,4,5,4,5,5,5,4,4,3,4,3,4,4,4,4,4,5,5,1,5,5,5,5,5,5,4,5,4,4,5,4,2,4
19,Female,Undergraduate,Student,10000,3,4,3,2,3,3,4,4,5,4,5,4,4,3,4,5,4,5,4,4,4,4,3,4,3,4,4,4,4,4,3,3,4,3,3,4,4,2,3
22,Female,Undergraduate,Salaried Employee,10000,2,3,3,3,3,1,3,2,3,4,3,2,5,4,3,4,3,4,3,4,3,2,4,2,4,2,3,2,2,3,5,5,4,4,4,4,3,4,2
22,Female,Professional Degree,Student,15000,2,3,1,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,2,4,4,5,5,5,1,5,5,5,5,5,1,2,2,1,1,1,1,5,1
25,Female,Undergraduate,Salaried Employee,40000,5,5,5,5,5,5,5,4,4,3,4,5,4,5,5,4,4,5,4,4,4,5,4,4,2,4,4,4,5,5,4,3,4,5,5,4,4,1,5
27,Female,Postgraduate,Salaried Employee,20000,3,4,4,4,2,3,4,5,5,5,5,5,3,4,4,3,3,3,3,3,4,5,5,5,1,4,5,5,5,5,2,2,2,4,5,5,5,1,4
22,Male,Professional Degree,Student,10000,4,4,4,4,4,4,3,3,2,3,3,2,3,4,3,4,4,3,3,4,3,5,5,5,1,5,4,4,4,5,3,4,3,4,2,1,2,3,1
28,Male,Undergraduate,Student,40000,3,2,4,3,3,4,2,1,3,2,3,2,4,1,2,2,2,4,4,2,2,2,2,2,4,1,1,2,1,1,4,3,3,2,2,2,4,3,3
19,Male,Professional Degree,Salaried Employee,25000,4,4,4,4,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,4,3,4,4,4,5,4,5,3,5,4,4,1,5
22,Male,Undergraduate,Student,Nil,5,4,4,4,4,4,3,4,5,3,3,4,4,4,3,5,4,4,4,5,4,4,4,5,2,4,4,3,4,4,4,3,4,2,4,4,3,3,2
25,Female,Postgraduate,Salaried Employee,35000,4,2,4,1,4,3,1,2,3,1,1,2,1,1,1,1,1,1,1,1,2,4,3,4,3,3,4,4,4,4,5,3,4,2,2,2,1,4,3
22,Male,Undergraduate,Self-Employed,10000,4,3,2,1,2,2,4,4,3,3,4,3,5,4,5,5,4,4,5,5,4,4,4,4,2,4,3,3,4,3,3,2,3,4,4,3,3,5,3
27,Female,Undergraduate,Student,15000,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,3,5,5,5,5,5,1,5
21,Female,Undergraduate,Student,15000,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,1,1,2,5,5,5,5,1,5
25,Male,Undergraduate,Student,40000,4,5,4,4,4,5,3,2,2,3,3,2,4,4,2,2,4,2,2,3,1,5,5,5,1,4,4,5,5,5,4,4,4,4,4,3,4,1,4
21,Female,Undergraduate,Student,Nil,5,5,5,5,5,5,4,4,5,4,4,5,4,3,3,3,3,2,3,3,4,4,4,3,2,3,4,4,4,3,3,4,3,4,4,5,4,1,5
21,Female,Undergraduate,Self-Employed,10000,4,4,4,5,5,3,4,4,5,5,4,4,5,3,3,4,4,3,3,5,4,4,4,4,2,5,5,4,4,5,3,4,2,5,4,4,5,2,5
22,Female,Postgraduate,Self-Employed,25000,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,3,4,2,1,2,4,3,4,4,3,3,4,3,3,5,4,3,4,4,4,5,4,2,4
27,Female,Undergraduate,Student,35000,3,4,3,3,4,4,5,5,5,5,5,5,4,4,5,4,5,4,4,4,4,4,4,4,2,4,4,5,4,3,1,1,1,4,5,4,5,2,5
23,Female,Undergraduate,Self-Employed,Nil,3,2,2,3,1,3,2,2,3,2,3,3,2,3,1,1,1,2,3,3,2,5,4,4,2,5,3,5,4,5,4,4,4,1,3,2,2,3,2
24,Female,Undergraduate,Student,Nil,5,4,5,5,5,5,4,4,5,4,5,4,3,5,4,4,4,4,5,4,4,4,4,4,2,5,5,4,4,2,3,3,4,4,5,5,5,1,5
19,Female,Undergraduate,Self-Employed,40000,5,5,5,5,5,5,1,2,2,3,1,2,1,1,2,1,1,2,1,2,1,3,3,3,3,3,3,2,2,3,4,4,5,2,4,2,2,1,3
20,Male,Undergraduate,Salaried Employee,30000,5,5,4,3,4,4,5,4,4,5,4,5,4,4,3,4,4,4,5,4,3,4,5,5,1,5,5,5,5,4,5,5,4,5,4,4,5,2,5
20,Female,Undergraduate,Student,10000,4,5,4,5,4,4,4,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,2,4,2,5,3,3,3,3,4,5,5,4,2,3,3,1,4
25,Male,Postgraduate,Salaried Employee,10000,4,5,3,3,4,2,4,5,3,2,4,4,5,4,5,5,5,5,5,5,5,1,1,3,5,1,1,1,2,1,2,4,2,3,4,3,4,2,4
21,Male,Postgraduate,Salaried Employee,15000,2,3,2,4,2,2,2,3,3,3,3,3,2,2,3,3,4,2,3,3,2,1,1,2,5,1,2,2,1,1,3,4,3,1,2,2,3,4,4
22,Male,Postgraduate,Student,25000,1,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,2,4,4,4,4,4,4,3,4,4,5,4,5,1,5
23,Male,Undergraduate,Student,20000,2,2,2,3,1,3,1,1,2,1,1,1,3,1,4,3,2,1,2,3,2,3,3,1,5,1,2,2,2,1,5,4,3,4,3,2,5,2,4
23,Male,Professional Degree,Salaried Employee,30000,1,2,1,1,1,1,3,2,1,1,1,2,3,3,4,2,3,3,2,2,4,4,4,3,3,4,4,4,3,3,4,4,5,3,3,3,3,3,1
22,Male,Postgraduate,Student,Nil,1,4,2,2,2,2,4,4,4,4,4,4,3,3,2,2,2,2,1,1,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,2,3
19,Male,Postgraduate,Student,30000,3,3,1,1,1,3,3,4,2,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4,5,3,3,3,4,4,4,5,1,4
22,Female,Undergraduate,Student,Nil,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,4,5,1,5,5,5,4,5,5,5,5,4,4,4,4,2,3
24,Female,Undergraduate,Salaried Employee,35000,5,5,5,5,5,5,3,4,2,3,3,3,1,2,4,3,3,4,4,3,4,5,5,5,1,5,5,5,5,5,2,2,1,5,5,5,5,1,5
21,Female,Undergraduate,Student,Nil,2,1,1,1,3,2,2,3,2,2,3,1,4,4,2,3,3,3,5,3,2,2,4,4,3,3,3,3,4,3,3,4,3,1,3,1,2,5,1
24,Male,Undergraduate,Student,Nil,3,3,3,3,3,4,2,2,1,3,2,3,4,1,2,2,2,1,2,1,2,5,5,5,1,5,5,5,5,5,4,4,4,1,2,3,1,5,1
19,Female,Postgraduate,Student,Nil,5,4,5,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,3,1,3,4,3,3,4,1,1,1,5,3,5,4,2,4
26,Male,Undergraduate,Student,Nil,2,2,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,1,1,5,5,5,5,5,5,5,2,5
27,Male,Undergraduate,Salaried Employee,10000,4,4,4,4,3,3,4,5,4,5,5,5,4,4,5,4,5,5,4,5,5,4,5,5,2,5,5,5,5,5,2,3,3,5,5,5,4,1,5
19,Female,Undergraduate,Student,20000,4,5,4,5,5,4,4,4,5,4,5,5,3,2,5,3,4,4,4,4,4,5,5,5,2,5,3,4,5,4,4,4,4,4,4,4,4,2,4
22,Female,Undergraduate,Salaried Employee,35000,3,3,2,3,2,3,3,1,1,3,2,3,2,1,1,2,2,3,1,2,2,3,3,3,2,3,3,1,3,3,3,5,4,1,2,1,1,5,2
22,Female,Undergraduate,Student,15000,2,1,3,3,3,4,2,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,1,3,4,5,5,3,5,5,5,4,4,3,4,2,4
25,Female,Undergraduate,Salaried Employee,15000,4,5,5,4,5,5,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,3,3,4,4,4,4,3,4,5,5,3,3,3,3,3,4
23,Female,Undergraduate,Student,10000,4,3,4,4,3,4,4,2,4,3,4,4,2,1,2,1,1,1,2,2,2,3,3,4,2,5,3,3,3,4,3,2,1,5,4,5,4,1,4
23,Female,Undergraduate,Salaried Employee,30000,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,5,5,1,5,4,4,4,4,2,4,2,5,5,5,5,1,5
21,Female,Postgraduate,Student,Nil,2,3,2,4,3,4,4,5,4,4,5,4,5,3,4,4,4,2,4,4,3,5,5,5,1,5,5,5,5,5,3,3,3,4,4,3,4,1,4
20,Male,Professional Degree,Salaried Employee,10000,5,5,4,5,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,3,2,4,3,4,4,4,3,4,4,5,3,3,4,2,4
24,Male,Professional Degree,Student,Nil,4,4,4,4,4,3,3,3,3,3,3,2,4,3,3,4,3,4,4,3,3,4,4,4,2,5,5,4,4,5,4,5,4,5,4,5,5,3,5
23,Female,Postgraduate,Student,Nil,5,5,5,5,5,4,5,5,5,5,5,5,4,5,3,5,4,4,5,4,4,4,5,5,1,4,4,5,4,5,2,3,3,5,5,5,5,1,5
25,Female,Undergraduate,Salaried Employee,20000,3,3,4,5,4,5,3,4,3,2,4,3,5,5,4,5,5,5,5,5,5,4,4,3,2,5,4,4,4,5,3,3,3,4,3,4,5,2,5
25,Male,Postgraduate,Student,Nil,5,5,5,5,5,5,1,2,3,3,2,2,2,2,1,2,1,2,1,1,1,4,4,4,2,4,5,4,5,4,4,4,4,2,1,1,2,5,1
24,Male,Professional Degree,Student,Nil,4,4,3,5,4,5,4,2,2,2,1,2,2,4,2,3,4,3,4,3,4,5,5,5,1,5,5,5,5,5,4,5,5,3,4,2,2,4,3
23,Male,Undergraduate,Salaried Employee,30000,3,3,3,4,4,3,2,3,3,4,3,3,2,3,4,3,4,2,4,3,2,1,1,1,4,1,2,2,1,1,4,5,5,2,2,4,1,4,2
26,Male,Undergraduate,Salaried Employee,Nil,5,5,4,4,5,5,2,2,3,1,2,2,3,2,3,2,3,2,3,4,3,1,3,2,4,3,3,3,2,2,2,3,3,4,4,4,5,1,5
25,Male,Postgraduate,Salaried Employee,20000,4,4,4,3,4,4,1,1,2,1,1,1,4,4,3,3,4,3,4,3,5,4,4,4,1,4,4,5,4,4,3,3,4,2,2,3,3,2,4
26,Female,Undergraduate,Self-Employed,10000,1,1,1,2,2,1,1,1,1,1,2,2,4,4,3,4,4,3,4,3,4,1,1,1,5,1,1,1,1,1,4,5,5,4,5,5,4,1,5
29,Male,Postgraduate,Student,35000,2,1,3,3,3,1,5,4,4,5,4,3,2,2,3,2,4,3,2,2,3,4,3,4,2,4,4,4,4,3,4,5,5,2,1,3,2,3,1
22,Male,Undergraduate,Student,25000,5,5,5,5,5,5,5,5,3,4,5,4,4,5,4,5,5,4,5,5,4,3,2,2,3,1,2,3,3,3,5,5,5,2,2,2,2,5,2
24,Male,Undergraduate,Salaried Employee,Nil,2,2,3,4,4,3,2,3,2,3,3,2,3,4,2,2,4,4,3,2,2,2,2,1,4,1,1,1,2,2,5,4,4,4,4,4,4,3,3
24,Female,Postgraduate,Student,35000,5,5,5,5,5,5,4,4,5,4,4,5,3,2,3,1,3,2,2,2,2,4,3,4,2,4,4,3,3,3,5,5,5,4,4,4,5,3,4
21,Male,Postgraduate,Student,10000,1,1,1,3,1,2,1,2,1,1,1,1,2,2,4,4,3,4,3,3,3,3,4,3,2,4,3,3,3,4,5,5,4,4,3,3,4,2,3
24,Male,Postgraduate,Student,Nil,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,3,3,3,5,5,5,5,1,5
22,Female,Postgraduate,Student,25000,3,2,3,2,2,2,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,2,2,4,4,2,2,3,3
